"url","group_url"
"https://www.youtube.com/watch?v=74gB6dVxgCE","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=lkJryHAB-Cc","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=GmK_uMFrSyo","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=E16vZwHAIII","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=im7bKQGgAGU","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=ub2a7T_VYmM","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=eOt8TY3vxdk","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=utEtOsVsrpM","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=TVxcCHOE9BY","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=PZRv2aq63ng","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=ZqOpJVbe8jU","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=1LNQamUwnCQ","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=qL6uDYEIBQE","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=CqOR6FXOc5U","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=YHVra4nTd4A","https://www.youtube.com/user/IRRSanDiegoAppraiser/videos"
"https://www.youtube.com/watch?v=X6lfZiOaoJU","https://www.youtube.com/channel/UCRQkRpHyP7VbFp2-eX1mK2Q"
"https://www.youtube.com/watch?v=qN9VfbPnSI4","https://www.youtube.com/channel/UCRQkRpHyP7VbFp2-eX1mK2Q"
"https://www.youtube.com/watch?v=P95hhYOMoac","https://www.youtube.com/channel/UCRQkRpHyP7VbFp2-eX1mK2Q"
"https://www.youtube.com/watch?v=tq1W5WJlklw","https://www.youtube.com/channel/UCRQkRpHyP7VbFp2-eX1mK2Q"
"https://www.youtube.com/watch?v=KVGzyoeNt4Y","https://www.youtube.com/channel/UCwGnRooW-wA_U-pFeQOsPYA"
"https://www.youtube.com/watch?v=lnYOUrDpWHQ","https://www.youtube.com/channel/UCwGnRooW-wA_U-pFeQOsPYA"
"https://www.youtube.com/watch?v=IrQk_oL7nnM&list=WL&index=157",""
"https://www.youtube.com/watch?v=MP4viH08Hl0",""
"https://www.youtube.com/watch?v=cJDXNoSIS6s",""
"https://www.youtube.com/watch?v=wqNnb1SZOho",""
"https://www.youtube.com/watch?v=KPXaqJvQadk",""
"https://www.youtube.com/watch?v=07zwWGF3XA8",""
"https://www.youtube.com/watch?v=qIPPKofrhdU&t=3s",""
"https://www.youtube.com/watch?v=1v6NeSuPtoY",""
"https://www.youtube.com/watch?v=zAzyx8K1oYk&t=4s",""
"https://www.youtube.com/watch?v=ZgRUPJpOxlU",""
"https://www.youtube.com/watch?v=valWBwj62uo",""
